,cart_abandoner,explorer,goal_oriented_buyer,impulse_buyer,price_comparison
cart_abandoner,203,0,10,11,1
explorer,0,219,1,0,5
goal_oriented_buyer,15,0,90,120,0
impulse_buyer,4,0,28,194,0
price_comparison,1,1,0,0,222
