,cart_abandoner,explorer,goal_oriented_buyer,impulse_buyer,price_comparison
cart_abandoner,224,0,0,0,1
explorer,1,221,0,0,3
goal_oriented_buyer,0,0,190,35,0
impulse_buyer,1,0,56,169,0
price_comparison,1,0,0,0,223
