,cart_abandoner,explorer,goal_oriented_buyer,impulse_buyer,price_comparison
cart_abandoner,191,0,17,15,2
explorer,0,200,0,0,25
goal_oriented_buyer,6,0,39,179,1
impulse_buyer,6,0,4,216,0
price_comparison,1,63,0,0,160
