feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F0,A1,7,19,1820,1.65,4,0.0,0.5020021279770192,0.6659696988719715,0.6639849742531367,0.41873474962075824,0.528,0.46298598890895915,1.1474427703956518,453.82920108126405,4,0.4665602013094247,,,,0.0,
F0,A1,42,19,1820,0.28,4,0.0,0.5020021279770192,0.6659696988719715,0.6639849742531367,0.41873474962075824,0.528,0.46298598890895915,1.1474427703956518,453.82920108126405,4,0.4665602013094247,,,,0.0,
F0,A1,2026,19,1820,0.28,4,0.0,0.5020021279770192,0.6659696988719715,0.6639849742531367,0.41873474962075824,0.528,0.46298598890895915,1.147442770395652,453.82920108126393,4,0.4665602013094247,,,,0.0,
F13,A1,7,14,1801,0.27,4,0.0,0.4937337485497847,0.6649543372577875,0.6629529350437404,0.4108381045550205,0.5213333333333333,0.4405192958120423,0.9527179719026713,436.2746940420542,4,0.4535318947070053,,,,0.0,
F13,A1,42,14,1801,0.27,4,0.0,0.4937337485497847,0.6649543372577875,0.6629529350437404,0.4108381045550205,0.5213333333333333,0.4405192958120423,0.9527179719026713,436.2746940420542,4,0.4535318947070053,,,,0.0,
F13,A1,2026,14,1801,0.28,4,0.0,0.4937337485497847,0.6649543372577875,0.6629529350437404,0.4108381045550205,0.5213333333333333,0.4405192958120423,0.9527179719026713,436.27469404205414,4,0.4535318947070053,,,,0.0,
F6,A1,7,9,245,0.23,4,0.0,0.4937337485497847,0.6649543372577875,0.6629529350437404,0.4108381045550205,0.5213333333333333,0.5777715742064398,0.6989752872104401,667.9932459100088,4,0.580730079755268,,,,0.0,
F6,A1,42,9,245,0.23,4,0.0,0.4937337485497847,0.6649543372577875,0.6629529350437404,0.4108381045550205,0.5213333333333333,0.5777715742064398,0.6989752872104401,667.9932459100088,4,0.580730079755268,,,,0.0,
F6,A1,2026,9,245,0.24,4,0.0,0.4937337485497847,0.6649543372577875,0.6629529350437404,0.4108381045550205,0.5213333333333333,0.5777715742064398,0.6989752872104401,667.9932459100089,4,0.580730079755268,,,,0.0,
F11,A1,7,14,342,0.24,4,0.0,0.49965648183611727,0.6677039902586447,0.6657282628105347,0.4174846419499545,0.5266666666666666,0.5716468431832961,0.9632192006135507,621.1898463262214,4,0.5689181226247242,,,,0.0,
F11,A1,42,14,342,0.26,4,0.0,0.49965648183611727,0.6677039902586447,0.6657282628105347,0.4174846419499545,0.5266666666666666,0.5716468431832961,0.9632192006135507,621.1898463262214,4,0.5689181226247242,,,,0.0,
F11,A1,2026,14,342,0.25,4,0.0,0.49965648183611727,0.6677039902586447,0.6657282628105347,0.4174846419499545,0.5266666666666666,0.5716468431832961,0.9632192006135507,621.1898463262214,4,0.5689181226247242,,,,0.0,
F15,A1,7,14,1788,0.29,2,0.0,0.3702769182188588,0.5776547885870721,0.5766616091485065,0.2337043606799704,0.4013333333333333,0.4754869145205091,0.880129413371359,838.1129505409682,2,0.4872277574742049,,,,0.0,
F15,A1,42,14,1788,0.28,2,0.0,0.3702769182188588,0.5776547885870721,0.5766616091485065,0.2337043606799704,0.4013333333333333,0.4754869145205091,0.880129413371359,838.1129505409682,2,0.4872277574742049,,,,0.0,
F15,A1,2026,14,1788,0.29,2,0.0,0.3702769182188588,0.5776547885870721,0.5766616091485065,0.2337043606799704,0.4013333333333333,0.4754869145205091,0.880129413371359,838.1129505409682,2,0.4872277574742049,,,,0.0,
