,cart_abandoner,explorer,goal_oriented_buyer,impulse_buyer,price_comparison
cart_abandoner,225,0,0,0,0
explorer,1,223,0,0,1
goal_oriented_buyer,0,0,210,15,0
impulse_buyer,15,0,193,18,0
price_comparison,30,186,0,0,8
