,cart_abandoner,explorer,goal_oriented_buyer,impulse_buyer,price_comparison
cart_abandoner,40,1,71,113,0
explorer,0,218,1,0,6
goal_oriented_buyer,18,0,82,125,0
impulse_buyer,7,0,28,191,0
price_comparison,1,1,0,0,222
