,cart_abandoner,explorer,goal_oriented_buyer,impulse_buyer,price_comparison
cart_abandoner,222,0,2,1,0
explorer,1,220,0,0,4
goal_oriented_buyer,6,0,184,35,0
impulse_buyer,1,0,56,169,0
price_comparison,1,0,0,0,223
