feature_subset,preprocessing,mode,seed,n_features,distinct_train_vectors,runtime_sec,selected_k,val_silhouette,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,silhouette,davies_bouldin,calinski_harabasz
F0,standard,natural,7,19,3247,2.46,3,0.4381793079911328,3,0.0,0.5230403484373427,0.6655888312358036,0.6646847233273985,0.4356840555464351,0.5626666666666666,0.43986575230472963,1.126132233436337,798.4313953932159
F0,standard,natural,42,19,3247,0.75,3,0.4381793079911328,3,0.0,0.5230403484373427,0.6655888312358036,0.6646847233273986,0.4356840555464351,0.5626666666666666,0.43986575230472963,1.126132233436337,798.431395393216
F0,standard,natural,2026,19,3247,0.8,3,0.4381793079911328,3,0.0,0.5230403484373427,0.6655888312358036,0.6646847233273986,0.4356840555464351,0.5626666666666666,0.43986575230472963,1.126132233436337,798.4313953932159
F0,standard,forced_k5,7,19,3247,0.11,5,0.34314367992178196,5,0.0,0.5455795403686942,0.6634208307787759,0.6618231820922617,0.6270531283412175,0.6657777777777778,0.3512337526730783,1.535090751185283,551.1412550140516
F0,standard,forced_k5,42,19,3247,0.11,5,0.34314367992178196,5,0.0,0.5455795403686942,0.6634208307787757,0.6618231820922614,0.6270531283412175,0.6657777777777778,0.3512337526730783,1.535090751185283,551.1412550140515
F0,standard,forced_k5,2026,19,3247,0.11,5,0.34314367992178196,5,0.0,0.5455795403686942,0.6634208307787759,0.6618231820922617,0.6270531283412175,0.6657777777777778,0.3512337526730783,1.535090751185283,551.1412550140515
F0,standard_l2,natural,7,19,3247,0.79,2,0.43166256756718085,2,0.0,0.36725909312216354,0.5667267533708151,0.5660491604234331,0.23282154377804493,0.4,0.4234045795588117,1.0105214394271484,952.2402782816406
F0,standard_l2,natural,42,19,3247,0.74,2,0.43166256756718085,2,0.0,0.36725909312216354,0.566726753370815,0.566049160423433,0.23282154377804493,0.4,0.4234045795588117,1.0105214394271484,952.2402782816406
F0,standard_l2,natural,2026,19,3247,0.76,2,0.43166256756718085,2,0.0,0.36725909312216354,0.566726753370815,0.566049160423433,0.23282154377804493,0.4,0.4234045795588117,1.0105214394271484,952.2402782816406
F0,standard_l2,forced_k5,7,19,3247,0.11,5,0.2666162486572612,5,0.0,0.5673749635448563,0.6484111189195746,0.6468337093387981,0.7244472172056822,0.7244444444444444,0.27320354735879404,1.5649596367935756,589.4080207018889
F0,standard_l2,forced_k5,42,19,3247,0.1,5,0.2666162486572612,5,0.0,0.5673749635448563,0.6484111189195746,0.6468337093387981,0.7244472172056822,0.7244444444444444,0.27320354735879404,1.564959636793576,589.4080207018889
F0,standard_l2,forced_k5,2026,19,3247,0.11,5,0.26619428497184433,5,0.0,0.5689381928338559,0.6492804278262546,0.6477070894641858,0.7253642419495874,0.7253333333333334,0.2730154812784633,1.5665562654781806,589.2333046941159
F0,group_balanced,natural,7,19,3247,0.77,7,0.4114168618841171,7,0.0,0.35480139841565994,0.5354597547728853,0.5324843875617525,0.5274047934778049,0.504,0.413909311458417,1.2018734144210381,501.1151979376623
F0,group_balanced,natural,42,19,3247,0.74,7,0.4126793771299022,7,0.0,0.3532717729286901,0.5319779857789662,0.5289756085858968,0.5269447797038902,0.504,0.4149243027950008,1.19956868465474,502.6494860113041
F0,group_balanced,natural,2026,19,3247,0.77,7,0.4128072402364157,7,0.0,0.3542162668807425,0.5327928084477216,0.5297961728063292,0.527994146429822,0.5048888888888889,0.41480817563913014,1.2011440579106252,502.7037686354528
F0,group_balanced,forced_k5,7,19,3247,0.12,5,0.3882900726274351,5,0.0,0.40102662593579136,0.5403979750578404,0.5383383909339653,0.5756474786747641,0.5733333333333334,0.3863577956425171,1.1682476569589506,589.5129892798585
