,cart_abandoner,explorer,goal_oriented_buyer,impulse_buyer,price_comparison
cart_abandoner,218,0,0,7,0
explorer,0,221,0,0,4
goal_oriented_buyer,0,0,110,115,0
impulse_buyer,8,0,27,191,0
price_comparison,1,0,0,0,223
