,cart_abandoner,explorer,goal_oriented_buyer,impulse_buyer,price_comparison
cart_abandoner,224,0,0,0,1
explorer,0,221,0,0,4
goal_oriented_buyer,0,0,100,125,0
impulse_buyer,15,0,28,183,0
price_comparison,1,1,0,0,222
