feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F0,A1,42,19,3247,4.93,3,0.0,0.5230403484373427,0.6655888312358036,0.6646847233273988,0.4356840555464351,0.43992455853801377,1.1299596914516634,798.6817020051456,3.0,0.43828886274614093,,,,0.0,
F0,A1,43,19,3247,2.88,3,0.0,0.5230403484373427,0.6655888312358036,0.6646847233273989,0.4356840555464351,0.43992455853801377,1.1299596914516634,798.6817020051456,3.0,0.43828886274614093,,,,0.0,
F0,A1,44,19,3247,3.05,3,0.0,0.5230403484373427,0.6655888312358036,0.6646847233273988,0.4356840555464351,0.43992455853801377,1.1299596914516632,798.6817020051454,3.0,0.43828886274614093,,,,0.0,
F0,A2,42,19,3247,62.47,19,0.2088888888888889,0.11221255666241857,0.32541853948330945,0.314674794972502,0.28957942766627254,0.6009057760238647,0.6604926412464118,543.9724264627727,,0.5830289125442505,15.0,100.0,25.0,0.0,
F0,A2,43,19,3247,35.21,5,0.4408888888888889,0.11062420045560879,0.2614816868540492,0.2573095127794383,0.32951561751147035,0.6071509718894958,0.6149692865684979,971.211986321853,,0.600273609161377,50.0,500.0,5.0,0.0,
F0,A2,44,19,3247,48.45,6,0.39644444444444443,0.168545874774538,0.31792369423661415,0.31349919065343185,0.3368050432483511,0.6154353022575378,0.5569652576972954,1210.3142847611662,,0.6166519522666931,50.0,250.0,25.0,0.0,
F0,A3,42,19,3247,14.09,10,0.0,0.3481564421760914,0.5182404357505507,0.5141355326190894,0.594171661351796,0.5098477602005005,0.6773266840923876,1738.235020913748,10.0,0.5002122521400452,,,,0.0,2.0
F0,A3,43,19,3247,13.87,3,0.0,0.49717371135503957,0.6033597970280804,0.6022997094321779,0.4208708010276414,0.49684223532676697,0.7316870397673467,1198.8002268536575,3.0,0.4930780231952667,,,,0.0,2.0
F0,A3,44,19,3247,13.97,10,0.0,0.33344101493305955,0.5161844827578101,0.5120656000401693,0.5775717055512489,0.5237323045730591,0.7057487670114587,1526.9730937225202,10.0,0.5321528315544128,,,,0.0,2.0
F2,A1,42,5,82,4.44,10,0.0,0.34526523856125696,0.5048697378953232,0.5001144696361709,0.5844621194127357,0.7662825843669818,0.5373079090327989,2336.909969255112,10.0,0.7685601357020522,,,,0.0,
