persona,0,1,2,3,4
cart_abandoner,1,2,37,142,43
explorer,46,178,1,0,0
goal_oriented_buyer,0,0,219,6,0
impulse_buyer,0,0,220,6,0
price_comparison,28,195,0,1,0
