persona,0,1,2,3,4
cart_abandoner,2,32,137,53,1
explorer,40,1,0,0,184
goal_oriented_buyer,0,219,1,5,0
impulse_buyer,0,220,5,1,0
price_comparison,203,0,0,3,18
