persona,0,1,2,3,4
cart_abandoner,37,142,2,43,1
explorer,1,0,178,0,46
goal_oriented_buyer,219,6,0,0,0
impulse_buyer,220,6,0,0,0
price_comparison,0,1,195,0,28
