persona,0,1,2,3,4
cart_abandoner,0,41,0,105,79
explorer,108,0,94,22,1
goal_oriented_buyer,0,222,0,3,0
impulse_buyer,0,218,0,3,5
price_comparison,0,3,203,17,1
