persona,0,1,2,3,4
cart_abandoner,32,3,185,4,1
explorer,0,53,0,1,171
goal_oriented_buyer,86,2,6,131,0
impulse_buyer,73,0,6,147,0
price_comparison,0,218,1,0,5
