persona,0,1,2,3,4
cart_abandoner,12,2,34,1,176
explorer,1,119,0,105,0
goal_oriented_buyer,133,0,86,0,6
impulse_buyer,147,0,73,0,6
price_comparison,0,106,0,117,1
