persona,0,1,2,3,4
cart_abandoner,1,1,37,133,53
explorer,83,142,0,0,0
goal_oriented_buyer,0,0,219,1,5
impulse_buyer,0,0,220,5,1
price_comparison,155,66,0,0,3
