persona,0,1,2,3,4
cart_abandoner,142,37,2,43,1
explorer,0,1,178,0,46
goal_oriented_buyer,6,219,0,0,0
impulse_buyer,6,220,0,0,0
price_comparison,1,0,195,0,28
