persona,0,1,2,3,4
cart_abandoner,3,31,53,137,1
explorer,142,0,0,0,83
goal_oriented_buyer,0,219,5,1,0
impulse_buyer,0,220,1,5,0
price_comparison,63,0,4,0,157
