persona,0,1,2,3,4
cart_abandoner,1,176,2,34,12
explorer,105,0,119,0,1
goal_oriented_buyer,0,6,0,86,133
impulse_buyer,0,6,0,73,147
price_comparison,117,1,106,0,0
