persona,0,1,2,3,4
cart_abandoner,181,2,8,1,33
explorer,0,119,1,105,0
goal_oriented_buyer,6,0,133,0,86
impulse_buyer,6,0,147,0,73
price_comparison,1,106,0,117,0
