persona,0,1,2,3,4
cart_abandoner,79,0,41,0,105
explorer,1,94,0,108,22
goal_oriented_buyer,0,0,222,0,3
impulse_buyer,5,0,218,0,3
price_comparison,1,203,3,0,17
