persona,0,1,2,3,4
cart_abandoner,1,96,19,105,4
explorer,156,0,0,16,53
goal_oriented_buyer,0,89,133,3,0
impulse_buyer,0,78,146,2,0
price_comparison,1,0,0,5,218
