persona,0,1,2,3,4
cart_abandoner,3,36,132,1,53
explorer,141,1,0,83,0
goal_oriented_buyer,0,219,1,0,5
impulse_buyer,0,220,5,0,1
price_comparison,68,0,0,155,1
