persona,0,1,2,3,4
cart_abandoner,41,3,105,76,0
explorer,0,94,22,1,108
goal_oriented_buyer,222,0,3,0,0
impulse_buyer,218,0,3,5,0
price_comparison,0,207,17,0,0
