persona,0,1,2,3,4
cart_abandoner,12,0,193,1,19
explorer,0,83,1,141,0
goal_oriented_buyer,84,0,6,0,135
impulse_buyer,27,0,6,0,193
price_comparison,0,155,4,65,0
