persona,0,1,2,3,4
cart_abandoner,12,1,2,176,34
explorer,1,105,119,0,0
goal_oriented_buyer,133,0,0,6,86
impulse_buyer,147,0,0,6,73
price_comparison,0,117,106,1,0
