persona,0,1,2,3,4
cart_abandoner,4,16,199,0,6
explorer,0,23,0,202,0
goal_oriented_buyer,88,0,5,0,132
impulse_buyer,27,0,5,0,194
price_comparison,0,51,0,173,0
