persona,0,1,2,3,4
cart_abandoner,199,0,4,6,16
explorer,0,202,0,0,23
goal_oriented_buyer,5,0,88,132,0
impulse_buyer,5,0,27,194,0
price_comparison,0,173,0,0,51
