persona,0,1,2,3,4
cart_abandoner,0,0,219,0,6
explorer,0,34,0,168,23
goal_oriented_buyer,220,0,5,0,0
impulse_buyer,219,0,7,0,0
price_comparison,0,163,0,10,51
