persona,0,1,2,3,4
cart_abandoner,184,0,0,36,5
explorer,0,0,202,0,23
goal_oriented_buyer,3,222,0,0,0
impulse_buyer,3,211,0,12,0
price_comparison,0,0,173,0,51
