persona,0,1,2,3,4
cart_abandoner,0,32,186,4,3
explorer,202,0,0,23,0
goal_oriented_buyer,0,89,6,0,130
impulse_buyer,0,73,6,0,147
price_comparison,173,0,0,51,0
