persona,0,1,2,3,4
cart_abandoner,3,36,0,0,186
explorer,23,0,202,0,0
goal_oriented_buyer,0,0,0,220,5
impulse_buyer,0,11,0,210,5
price_comparison,51,0,173,0,0
