persona,0,1,2,3,4
cart_abandoner,0,0,186,3,36
explorer,0,202,0,23,0
goal_oriented_buyer,220,0,5,0,0
impulse_buyer,210,0,5,0,11
price_comparison,0,173,0,51,0
