persona,0,1,2,3,4
cart_abandoner,3,2,29,190,1
explorer,0,47,0,1,177
goal_oriented_buyer,133,0,86,6,0
impulse_buyer,147,0,73,6,0
price_comparison,0,216,0,3,5
