persona,0,1,2,3,4
cart_abandoner,181,0,16,12,16
explorer,0,202,1,0,22
goal_oriented_buyer,5,0,132,88,0
impulse_buyer,6,0,193,27,0
price_comparison,0,173,0,0,51
