persona,0,1,2,3,4
cart_abandoner,186,39,0,0,0
explorer,0,0,190,0,35
goal_oriented_buyer,6,0,0,219,0
impulse_buyer,6,11,0,209,0
price_comparison,3,1,11,0,209
