persona,0,1,2,3,4
cart_abandoner,0,4,16,6,199
explorer,202,0,23,0,0
goal_oriented_buyer,0,88,0,132,5
impulse_buyer,0,27,0,194,5
price_comparison,173,0,51,0,0
