persona,0,1,2,3,4
cart_abandoner,7,0,0,0,218
explorer,23,0,168,34,0
goal_oriented_buyer,0,220,0,0,5
impulse_buyer,0,219,0,0,7
price_comparison,51,0,4,169,0
