persona,0,1,2,3,4
cart_abandoner,36,0,5,0,184
explorer,0,0,23,202,0
goal_oriented_buyer,0,220,0,0,5
impulse_buyer,12,210,0,0,4
price_comparison,0,0,51,173,0
