persona,0,1,2,3,4
cart_abandoner,0,0,36,184,5
explorer,202,0,0,0,23
goal_oriented_buyer,0,222,0,3,0
impulse_buyer,0,211,12,3,0
price_comparison,173,0,0,0,51
