persona,0,1,2,3,4
cart_abandoner,51,0,0,174,0
explorer,0,190,0,0,35
goal_oriented_buyer,3,0,216,6,0
impulse_buyer,30,0,193,3,0
price_comparison,3,10,0,3,208
