feature_set,k,covariance_type,bic,aic,test_ari,test_nmi,test_ami,test_macro_f1,test_hungarian_accuracy,test_majority_accuracy
F0_core_temporal,2,diag,-225897.9400462856,-226561.10436519972,0.3577499759762636,0.5579467332325563,0.5572539138028438,0.23456995947607764,0.4008888888888889,0.4008888888888889
F0_core_temporal,3,diag,-362856.46159913996,-363854.491069189,0.5088419056614212,0.6211889904841046,0.6201862442283133,0.4348200266540962,0.5768888888888889,0.5768888888888889
F0_core_temporal,4,diag,-389546.88365628663,-390879.7782774705,0.49802030157317817,0.6128720703042526,0.6114378098881534,0.5089064419591863,0.5934814814814814,0.5934814814814814
F0_core_temporal,5,diag,-409010.28591982805,-410678.0456921468,0.5295033215965345,0.643851854256201,0.642183209430982,0.582951581691709,0.6216296296296296,0.6417777777777778
F0_core_temporal,6,diag,-422469.67623955413,-424472.3011630078,0.4663816415803505,0.5982445066369041,0.5960562354810409,0.606117589197,0.5857777777777778,0.6797037037037037
F0_core_temporal,7,diag,-442858.81342937826,-445196.3035039669,0.43444478280299587,0.5807907101923299,0.5781201014228742,0.5496888738329221,0.5179259259259259,0.6524444444444445
F0_core_temporal,8,diag,-444374.4842969577,-447046.839522681,0.4132173393483269,0.5723628343028736,0.5693648319467219,0.6118376796371238,0.5445925925925926,0.6880000000000001
F0_core_temporal,9,diag,-450403.13017613435,-453410.3505529926,0.4222883341693359,0.5735874257684371,0.5702387855851231,0.6203614251590513,0.5416296296296297,0.715851851851852
F0_core_temporal,10,diag,-459804.25696638756,-463146.34249438066,0.3453114661342389,0.5397756260889336,0.5358339314170278,0.544880258009406,0.4491851851851852,0.6880000000000001
F0_core_temporal,2,full,-473438.9083218211,-478041.66265408666,0.35948548312087386,0.5607168976750385,0.5600285405196953,0.23447579447579447,0.4008888888888889,0.4008888888888889
F0_core_temporal,3,full,-585326.8986323836,-592234.3131224597,0.5571699062351496,0.676962893933379,0.676103463195759,0.4490758273089783,0.5893333333333334,0.5893333333333334
F0_core_temporal,4,full,-686804.1168210083,-696016.191468895,0.5417786017218263,0.6526116859307695,0.6513112683356392,0.5205628931847234,0.6077037037037037,0.6077037037037037
F0_core_temporal,5,full,-695692.6996813216,-707209.4344870189,0.5089133360025042,0.6247145105852144,0.6229084568882767,0.5502140734275313,0.6026666666666666,0.6059259259259259
F0_core_temporal,6,full,-725239.3519675774,-739060.746931085,0.4714212312684354,0.6034599602790287,0.601183413120659,0.5505498912854527,0.5677037037037037,0.6296296296296297
F0_core_temporal,7,full,-748112.5401939708,-764238.5953152892,0.487767384784634,0.6100704590489988,0.6075915060426493,0.625499132173181,0.5946666666666666,0.6882962962962963
F0_core_temporal,8,full,-741780.2615477383,-760210.9768268676,0.4022050024818182,0.5594132515200646,0.5562255807164952,0.574219963351969,0.5294814814814814,0.6557037037037037
F0_core_temporal,9,full,-739400.6879056138,-760136.0633425532,0.3902579654640883,0.560533596653969,0.5570338757068498,0.560144247673529,0.49066666666666664,0.6773333333333333
F0_core_temporal,10,full,-752330.2079188951,-775370.2435136453,0.39620259483512693,0.5701755877787128,0.5664244577178318,0.5728637885175124,0.49333333333333335,0.6951111111111112
