feature_set,k,covariance_type,bic,aic,test_ari,test_nmi,test_ami,test_macro_f1,test_hungarian_accuracy,test_majority_accuracy
F13_core_temporal,2,diag,-135537.4222931737,-136069.26694497615,0.3612310851949632,0.5635853759175191,0.5629016324876593,0.23438247872763288,0.4008888888888889,0.4008888888888889
F13_core_temporal,3,diag,-216581.74238304762,-217382.79235242904,0.5431518286377468,0.6620385251568234,0.6611409952031928,0.4419865783412453,0.5822222222222222,0.5822222222222222
F13_core_temporal,4,diag,-228879.24704303828,-229949.50232999877,0.6221479620514919,0.7105970389994248,0.7095349336853619,0.623581866422688,0.6983703703703704,0.6983703703703704
F13_core_temporal,5,diag,-248202.9455611205,-249542.40616565998,0.5841766432785797,0.680088535770402,0.6786237821484139,0.6563415784514787,0.6714074074074073,0.7025185185185184
F13_core_temporal,6,diag,-261052.21339727854,-262660.87931939703,0.4939385961765937,0.6214575399877834,0.6194154786522237,0.6372453542289985,0.5997037037037037,0.7004444444444444
F13_core_temporal,7,diag,-270450.8171252184,-272328.6883649159,0.5385087329971614,0.6347682580820356,0.6324954654143321,0.7027972732976945,0.6432592592592593,0.7588148148148148
F13_core_temporal,8,diag,-282135.29298814485,-284282.3695454214,0.48760853108669133,0.6213929993335251,0.6187101518274455,0.6502742327940269,0.5851851851851851,0.7641481481481481
F13_core_temporal,9,diag,-292333.2739046915,-294749.555779547,0.4239149707354646,0.5907411646576096,0.5875137294768603,0.6091806864217646,0.5265185185185185,0.7434074074074074
F13_core_temporal,10,diag,-289493.99337787094,-292179.48057030543,0.4468232493310686,0.593365423941457,0.5898891108328082,0.6147809447573981,0.517925925925926,0.7499259259259259
F13_core_temporal,2,full,-314664.3239036198,-317691.2422305448,0.3636979215913742,0.5588802013130808,0.558190119228152,0.2335805391190006,0.4008888888888889,0.4008888888888889
F13_core_temporal,3,full,-409568.26674273214,-414111.92722479743,0.5801114289620191,0.7128818997686487,0.7121153924492206,0.4545577265332243,0.592,0.592
F13_core_temporal,4,full,-452797.0297791127,-458857.4324163183,0.5342257760030337,0.6622316137384563,0.6609586616416703,0.4971400382894096,0.5893333333333334,0.5911111111111111
F13_core_temporal,5,full,-453947.637814753,-461524.78260709887,0.5350669046121729,0.662022019503841,0.6603887436437632,0.545072570928432,0.6074074074074074,0.6334814814814815
F13_core_temporal,6,full,-471491.1280744501,-480585.01502193627,0.5258239106220747,0.6357174296436935,0.6336843205810303,0.6232036050864255,0.6254814814814815,0.6817777777777777
F13_core_temporal,7,full,-489042.95254486863,-499653.5816474951,0.3911146768514999,0.536403179056379,0.5334634136232815,0.5598323658920384,0.5315555555555557,0.6198518518518519
F13_core_temporal,8,full,-505143.1617909097,-517270.5330486765,0.4136694273449166,0.5569028375558317,0.5535877960247592,0.5009262813766321,0.49244444444444446,0.6065185185185186
F13_core_temporal,9,full,-522771.563830131,-536415.6772430381,0.41825288297991836,0.5750499285034866,0.5716326079159256,0.5607940775296913,0.49955555555555553,0.6764444444444444
F13_core_temporal,10,full,-532381.7728527155,-547542.6284207628,0.421894421617195,0.5949940913856658,0.5914961732875738,0.5880151899219482,0.4930370370370371,0.7392592592592592
