pipeline,seed,n_features,runtime_sec,selected_k,val_silhouette,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,majority_accuracy,silhouette,davies_bouldin,calinski_harabasz,selected_n_components,selected_n_neighbors,umap_fallback_ratio,selected_latent_dim,selected_min_cluster_size,selected_min_samples
A1_kmeans_k5,7,40,1.71,5.0,0.2542466099919657,5,0.0,0.6968353814716275,0.7523293179996561,0.7512074803084617,0.8091493510547233,0.8168888888888889,0.8168888888888889,0.2512577825989365,1.6011722791539,381.8095658449669,,,,,,
A1_kmeans_k5,42,40,0.12,5.0,0.2542466099919657,5,0.0,0.6968353814716275,0.7523293179996561,0.7512074803084617,0.8091493510547233,0.8168888888888889,0.8168888888888889,0.2512577825989365,1.6011722791539,381.80956584496687,,,,,,
A1_kmeans_k5,2026,40,0.13,5.0,0.2542466099919657,5,0.0,0.6968353814716275,0.7523293179996561,0.7512074803084617,0.8091493510547233,0.8168888888888889,0.8168888888888889,0.2512577825989365,1.6011722791539,381.8095658449669,,,,,,
A2_umap_kmeans_k5,7,40,67.76,5.0,0.49491339921951294,5,0.0,0.3625423126334882,0.46221533557817684,0.4597259024302756,0.4456880984819337,0.49333333333333335,0.5644444444444444,0.4854585528373718,0.754721885171324,1258.9552001953125,2.0,50.0,0.0,,,
A2_umap_kmeans_k5,42,40,35.7,5.0,0.48015227913856506,5,0.0,0.329576458173371,0.41578203855670987,0.4131175481707047,0.5075283615486013,0.5342222222222223,0.5617777777777778,0.48225855827331543,0.7224210436979022,1281.854248046875,2.0,50.0,0.0,,,
A2_umap_kmeans_k5,2026,40,37.47,5.0,0.508461058139801,5,0.0,0.3061895119983985,0.40595303955170303,0.40324140722600954,0.4948067724653713,0.5191111111111111,0.5484444444444444,0.5006333589553833,0.6884510635444168,1364.076416015625,2.0,50.0,0.0,,,
A3_vae_kmeans_k5,7,40,16.88,5.0,0.6010076999664307,5,0.0,0.44355349348637546,0.5701133933547345,0.5681494143800911,0.5926929195563742,0.608,0.608,0.5825838446617126,0.6391631241061503,10488.13671875,,,,2.0,,
A3_vae_kmeans_k5,42,40,9.75,5.0,0.4564361870288849,5,0.0,0.4492925436245822,0.550888263153952,0.5488732585147189,0.6763336619993229,0.6773333333333333,0.6773333333333333,0.45178720355033875,0.8456870337773145,5515.38720703125,,,,2.0,,
A3_vae_kmeans_k5,2026,40,9.91,5.0,0.4754912555217743,5,0.0,0.23948625054010036,0.29369719406562,0.290527431705091,0.517865457426901,0.5155555555555555,0.5173333333333333,0.4726743698120117,0.712476060279893,1430.041015625,,,,2.0,,
A2_umap_hdbscan_natural,7,40,20.22,,0.6369807124137878,10,0.20266666666666666,0.25091722708951253,0.4501377294302127,0.4450311597484442,0.48181338978791716,0.36088888888888887,0.7447045707915273,0.6380944848060608,0.5565186909816839,1755.826171875,,50.0,0.0,,250.0,5.0
A2_umap_hdbscan_natural,42,40,20.26,,0.6935966610908508,20,0.037333333333333336,0.2156220936204548,0.4480877944519369,0.43893880232808147,0.39516282202504244,0.2862222222222222,0.7266851338873499,0.6806675791740417,0.43997360342789893,1953.3365478515625,,50.0,0.0,,100.0,25.0
A2_umap_hdbscan_natural,2026,40,19.85,,0.5985939502716064,10,0.1768888888888889,0.24575902868154556,0.441099401824276,0.43595706174168614,0.4633678917398658,0.33955555555555555,0.7257019438444925,0.5999099612236023,0.6667583835795249,750.7979125976562,,50.0,0.0,,250.0,25.0
