pipeline,seed,n_features,runtime_sec,selected_k,val_silhouette,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,majority_accuracy,silhouette,davies_bouldin,calinski_harabasz,selected_n_components,selected_n_neighbors,umap_fallback_ratio,selected_latent_dim,selected_min_cluster_size,selected_min_samples
A1_kmeans_k5,691.6666666666666,40.0,0.6533333333333333,5.0,0.2542466099919657,5.0,0.0,0.6968353814716274,0.7523293179996561,0.7512074803084617,0.8091493510547233,0.8168888888888889,0.8168888888888889,0.2512577825989365,1.6011722791539,381.8095658449669,,,,,,
A2_umap_hdbscan_natural,691.6666666666666,40.0,20.11,,0.643057107925415,13.333333333333334,0.13896296296296295,0.2374327831305043,0.4464416419021419,0.43997567460607057,0.4467813678509418,0.32888888888888884,0.7323638828411232,0.6395573417345682,0.5544168926630358,1486.653544108073,,50.0,0.0,,200.0,18.333333333333332
A2_umap_kmeans_k5,691.6666666666666,40.0,46.97666666666667,5.0,0.49450891216595966,5.0,0.0,0.33276942760175254,0.42798347122886327,0.4253616192756633,0.4826744108319687,0.5155555555555557,0.5582222222222222,0.4894501566886902,0.7218646641378811,1301.6286214192708,2.0,50.0,0.0,,,
A3_vae_kmeans_k5,691.6666666666666,40.0,12.18,5.0,0.5109783808390299,5.0,0.0,0.377444095883686,0.47156628352476887,0.46918336819996703,0.595630679660866,0.6002962962962962,0.6008888888888889,0.5023484726746877,0.7324420727211193,5811.188313802083,,,,2.0,,
