variant,n_features,val_stability_ari,val_silhouette,test_ari,test_nmi,test_ami,test_macro_f1,test_hungarian_accuracy,test_majority_accuracy
F13_core_temporal_baseline,20,1.0,0.3211294070589466,0.6484112323012838,0.7459995836877118,0.7447991155243465,0.6831966537126554,0.7280000000000001,0.7520000000000001
F13_core_temporal_transition_top20,40,1.0,0.24254192415087195,0.6717282032439732,0.7363434217289679,0.7351585306206049,0.7991081001736627,0.8017777777777778,0.8017777777777778
F13_core_temporal_transition_top40,60,1.0,0.19809496262360982,0.694000304922115,0.7482035368782466,0.7470721347211643,0.8077563655605472,0.8115555555555556,0.8115555555555556
F13_core_temporal_transition_top10,30,0.9958086190858815,0.2690762954490949,0.6066067597314125,0.6816086663351918,0.6801687965296427,0.7781824960479629,0.7816296296296298,0.7816296296296298
