variant,n_features,val_stability_ari,val_silhouette,test_ari,test_nmi,test_ami,test_macro_f1,test_hungarian_accuracy,test_majority_accuracy
F13_core_temporal_transition_top20,40,1.0,0.2577449235078758,0.6670704107166779,0.7246032486750215,0.7233627350420627,0.7896404686858812,0.7946666666666666,0.7946666666666666
F13_core_temporal_transition_top40,60,0.9983416828989728,0.2058508040818802,0.680283193108624,0.7363515480977451,0.735167075916633,0.7967010207985229,0.8000000000000002,0.8000000000000002
F13_core_temporal_transition_top10,30,0.993261917203311,0.273542251653825,0.5854194570074771,0.6661969047174284,0.6646876191675778,0.7527118888325135,0.7567407407407408,0.7567407407407408
F13_core_temporal_baseline,20,0.8363577855569394,0.31653877192794105,0.5905370185380142,0.6844948517268978,0.6830537479491245,0.6941291552782108,0.7102222222222222,0.7315555555555555
